Tamanho,AVL,Rubro-negra,B1,B5,B10
400,36.903167,17.345917,0.000000,0.000000,0.000000
800,45.248500,21.375833,0.000000,0.000000,0.000000
1200,48.199667,22.900167,0.000000,0.000000,0.000000
1600,50.346000,23.941250,0.000000,0.000000,0.000000
2000,51.749083,24.680167,0.000000,0.000000,0.000000
2400,52.930833,25.261750,0.000000,0.000000,0.000000
2800,54.001667,25.741833,0.000000,0.000000,0.000000
3200,54.656833,26.203250,0.000000,0.000000,0.000000
3600,55.489667,26.568167,0.000000,0.000000,0.000000
4000,56.148417,26.895500,0.000000,0.000000,0.000000
4400,56.871167,27.181917,0.000000,0.000000,0.000000
4800,57.115083,27.425417,0.000000,0.000000,0.000000
5200,57.706000,27.660000,0.000000,0.000000,0.000000
5600,58.142000,27.870417,0.000000,0.000000,0.000000
6000,58.678250,28.193000,0.000000,0.000000,0.000000
6400,59.034750,28.375750,0.000000,0.000000,0.000000
6800,59.396333,28.510667,0.000000,0.000000,0.000000
7200,59.804667,28.677000,0.000000,0.000000,0.000000
7600,59.968667,28.855583,0.000000,0.000000,0.000000
8000,60.363250,29.047667,0.000000,0.000000,0.000000
8400,60.711667,29.104500,0.000000,0.000000,0.000000
8800,60.943417,29.321167,0.000000,0.000000,0.000000
9200,61.054000,29.410667,0.000000,0.000000,0.000000
9600,61.610417,29.585333,0.000000,0.000000,0.000000
10000,61.799500,29.689333,0.000000,0.000000,0.000000
