Tamanho,AVL,Rubro-negra,B1,B5,B10
400,62.725667,8.829500,0.000000,0.000000,0.000000
800,70.385000,19.631083,0.000000,0.000000,0.000000
1200,74.812639,31.209083,0.000000,0.000000,0.000000
1600,78.038708,43.331250,0.000000,0.000000,0.000000
2000,80.487583,55.739750,0.000000,0.000000,0.000000
2400,82.490111,68.510333,0.000000,0.000000,0.000000
2800,84.189786,81.492583,0.000000,0.000000,0.000000
3200,85.645979,94.714250,0.000000,0.000000,0.000000
3600,86.919944,108.054250,0.000000,0.000000,0.000000
4000,88.076550,121.598833,0.000000,0.000000,0.000000
4400,89.134886,135.284250,0.000000,0.000000,0.000000
4800,90.067979,149.122083,0.000000,0.000000,0.000000
5200,90.935327,163.039667,0.000000,0.000000,0.000000
5600,91.732571,177.089250,0.000000,0.000000,0.000000
6000,92.511567,191.292167,0.000000,0.000000,0.000000
6400,93.202438,205.638417,0.000000,0.000000,0.000000
6800,93.882814,219.980417,0.000000,0.000000,0.000000
7200,94.509394,234.464833,0.000000,0.000000,0.000000
7600,95.103829,248.882083,0.000000,0.000000,0.000000
8000,95.664079,263.569833,0.000000,0.000000,0.000000
8400,96.218639,278.352250,0.000000,0.000000,0.000000
8800,96.730114,293.220833,0.000000,0.000000,0.000000
9200,97.190645,308.128250,0.000000,0.000000,0.000000
9600,97.671865,322.901750,0.000000,0.000000,0.000000
10000,98.118340,337.798750,0.000000,0.000000,0.000000
